artist,country,year,country-guess,source,genres
Current Bias,,2023,NZ,https://musicbrainz.org/artist/f69f4caf-8bc4-40c5-9822-ec3c741b7eef,
Curses!,,2010,,,
Cusp,NZ,2020,NZ,,"Progressive; Techno"
Cusp & Axiomata,NZ,2006,NZ,,
Cusp & Flipperty,NZ,2006,NZ,,
Cut Copy,,2011,,,
Cypress Hill,,1996,,,
Cyrk,,2019,,,
D Stone,,2025,,,
D'nox & Beckers,,2013,,,
D'nox & Stan Kolev,,2021,,,
D*Note,,1995,,,
D-Nox & Beckers,,2010,,,
D.I.M.,,2007,,,
D.I.M. & TAI,,2011,,,
D.O.N.S & DBN ft. Kadoc,,2008,,,
D.O.P.,,2010,,,
D12,,2004,,,
DARGZ,,2021,,,
DBFB,,2024,,,
DBX,,2010,,,
DEADWALKMAN,,2018,,,
DFRNT,,2014,,,
DJ ADHD,,2023,,,
"DJ ADHD, Nikki Nair",,2022,,,
DJ BORING,,2017,,,
DJ BORING & SWIM,,2025,,,
DJ Babalu & Hugo Rizzo,,2013,,,
DJ Busy,,2006,,,
DJ Cocoe,,2007,,,
DJ Cosworth,,2022,,,
DJ Cutlass Supreme,,2006,,,
DJ Dan,,2007,,,
DJ Deekline & Ed Solo ft. DJ Assault,,2009,,,
DJ Falcon,,2009,,,
DJ Hat,NZ,2011,NZ,,
DJ Haus & Len Faki,,2020,,,
DJ Hell,,2017,,,
DJ Icey,,2007,,,
DJ JM,,2023,,,
DJ Jazzy Jeff,,2007,,,
DJ Jazzy Jeff & The Fresh Prince,,2003,,,
DJ Jeroenski,,2008,,,
DJ Koze,,2018,,,
DJ Lucca,,2007,,,
DJ Madd,,2015,,,
DJ McKoy,,2011,,,
DJ Mehdi,,2008,,,
DJ Misjah & DJ Tim,,1997,,,
DJ Mujava,,2009,,,
DJ Nekbath,,2011,,,
DJ Nks,,1994,,,
DJ PP,,2012,,,
DJ Patife,,2001,,,
DJ Patife & Fernanda Porto,,2000,,,
DJ Plant Texture,,2025,,,
DJ Plead,,2022,,,
DJ Polo & TRIM,,2025,,,
DJ Premier,,2010,,,
DJ Primecuts,,2009,,,
DJ Q,,2008,,,
DJ Rocca and 5th Suite,,2009,,,
DJ Rooster & Sammy Peralta,,2007,,,
DJ SUV,,,,,
DJ Seinfeld,,2018,,,
DJ Steep,,2007,,,
DJ Swamp & Method Man & E40 & NASA,,2010,,,
DJ T,,2009,,,
DJ T.,,2021,,,
DJ Tennis,,2016,,,
DJ Touche,,2013,,,
DJ Wady & Patrick M,,2017,,,
DJ Wiggle,,2022,,,
DJ Wool,,2009,,,
DJ Zinc,,2010,,,
DJ Zinc & Makoto,,2006,,,
DJs Are Not Rockstars,,2006,,,
DMS & The BoneMan X,,1994,,,
DMX Krew,,2014,,,
DOVE & Kehina,,2025,,,
DSCRD,,2013,,,
DSF,,2018,,,
DULCETT,,2019,,,
DVS1,,2023,,,
DYNMT,,2021,,,
Da Hool,,2012,,,
Dada Life,,2009,,,
Dadahack,,2009,,,
"Daffy, Riko Dan & Dominus",,2022,,,
Daft Punk,NZ,2013,NZ,,
Dajae,,2006,,,
Dajusch,,2025,,,
Dakunt,,2009,,,
Dali de Saint Paul & Maxwell Sterling,,2024,,,
Dam Swindle,,2024,,,
Damian Lazarus,,2025,,,
Damian Lazarus & Mathew Jonson,,2025,,,
Damian Lazarus & The Ancient Moons,,2018,,,
Dan Aux,NZ,2025,NZ,,"Breakbeat; House; Techno"
Dan Aux & Northie,,2010,,,
Dan Aux & Youx,,2010,,,
Dan Aux ft Pablo Lazers,,2023,,,
Dan Le Sac vs. Scroobius Pip,,2007,,,
Dan McKie,,2012,,,
Dan Oh ft Gina Turner,,2009,,,
Dance Area,,2009,,,
Dane Tomas,,2019,,,
Danger Mouse & Black Thought,,2022,,,
Daniel Avery,,2020,,,
Daniel Avery & Alessandro Cortini,,2020,,,
Daniel Dubb & m.O.N.R.O.E.,,2017,,,
Daniel Farley & Tim Corin,NZ,2010,NZ,,
Daniel Farley ft. Imagine This,,2012,,,
Daniel Haaskman,,2009,,,
Daniel Pioro & Manchester Camerata,,2024,,,
Daniel Steinberg,,2025,,,
Daniel Verdun,,2014,,,
Daniele Di Martino,,2018,,,
Daniele Papini,,2008,,,
Danjo (ITA),,2022,,,
Danny Freakazoid,,2006,,,
Danny Howells,,2011,,,
Danny Scrilla,,2024,,,
Danny T,NZ,2012,NZ,,
Dapayk & Padberg,,2006,,,
Darin Epsilon,,2017,,,
Darin Epsilon & Matan Caspi,,2017,,,
Dario Zenker,,2013,,,
Darius Syrossian,,2020,,,
Darius Syrossian & FLETCH,,2025,,,
Darius Syrossian & Hector Couto,,2012,,,
Darius Syrossian featuring DJ Supreme,,2022,,,
Darryl Baser vs. Haszari,,2018,,,
Darryl Green,,2012,,,
Darwin Deez,,2011,,,
Das Glow,,2009,,,
Data,,2009,,,
Data Plan & 11:68PM,,2025,,,
Datach'i,,2019,,,
DatsiK,,2009,,,
Dauwd,,2023,,,
Dave Armstrong & Redroche ft. H-Boogie,,2008,,,
Dave Brubeck,,1963,,,
Dave Clarke,,1996,,,
Dave Cox,NZ,2022,NZ,,
Dave Robertson & Jon Gurd,,2013,,,
Dave Silcox,,2007,,,
Dave Spoon,,2008,,,
Dave Spoon & DJ Zinc,,2008,,,
Davi,,2023,,,
David Aussi,,2012,,,
David Bowie,,1993,,,
David Dorad,,2014,,,
David Fray & The Deutsche Kammerphilharmonie Bremen,,2008,,,
David Guetta,,2010,,,
David Hasert & Tim Engelhardt,,2016,,,
David Lynch,,2011,,,
David Michael Cross & DMX Krew,,2023,,,
David Penn,,2018,,,
David Rubato,,2008,,,
David Toop,,2016,,,
Dayzero,,2024,,,
Dbldbl,,2021,NZ,https://musicbrainz.org/artist/5379c261-e07b-4cfa-8fd9-f12c0a53aa8b,
De La Funk,,2006,,,
De La Soul,,2003,,,
DeNiro,,2016,,,
Dead Prez,,2000,,,
Dead Prez vs. Sliders From Mars,,2005,,,
"DeadForest, Church & Dera Meelan",,2022,,,
Deadbeat,,2014,,,
Deadmau5,,2009,,,
Deadmau5 & Kaskade,,2008,,,
Deadmau5 & Wolfgang Gartner,,2010,,,
Deadmau5 vs. P-Money ft. Vince Harder,,2008,,,
Deadset,,2007,NZ,https://musicbrainz.org/artist/9dbe18f1-13ab-443e-8065-028405b24036,
Dean Grenier & Pilo,,2019,,,
Dean Mickoski,,2013,,,
Dean Turnley,,2026,,,
Death From Above 1979,,2005,,,
Death from Above 1979,,2006,,,
Deceptikonz,,2002,NZ,https://musicbrainz.org/artist/5150de84-64bb-4a13-b9a4-0cb7432293ac,
Decoder,,2025,,,
Deee-Lite,,2005,,,
Deekline & Wizard vs. Jack Beatz,,2006,,,
Deep Swing,,2001,,,
Deepah Ones,,2006,,,
Deepbass,,2016,,,
Deepcentral,,2008,,,
Deepchild,NZ,2008,NZ,,
Deepchord,,2008,,,
Deepnaut,,2016,,,
Deetron,,2024,,,
Dejakal,,2013,,,
Delilah,,2012,,,
Delo,,2020,,,
Delta Funktionen,,2017,,,
Deltawave,,2007,,,
Delvon Lamarr Organ Trio,,2021,,,
Demarkus Lewis,,2018,,,
Demdike Stare,,2016,,,
Demon,,2010,,,
Denis Horvat,,2019,,,
Dennis Christopher f. ROCQ-E,,2008,,,
Dennis Ferrer,,2006,,,
Deorbiting,,2019,,,
Depressed Buttons,,2011,,,
"Dera Meelan, DeadForest & Church & AP",NZ,2019,NZ,,
Derty Sesh,NZ,2012,NZ,,
Desert Sound Colony,,2022,,,
Designer Drugs,,2009,,,
Destroy Disco,,2008,,,
Destroy Disco & Tom Piper,NZ,2009,NZ,,
Detachments,,2009,,,
Detlef,,2024,,,
Developer,,2018,,,
Deviant & Mystic State,,2019,,,
Devil Theory,NZ,2010,NZ,,
Devil's Gun,,2007,,,
Dezza & Trixxx,,2009,,,
Diana Ross,,2010,,,
Didier Morris,,2013,,,
Die Antwoord,,2010,,,
Dieg Namzak,,2013,,,
"Diego Fasolis, I Barocchisti, Julia Lezhneva & Philippe Jaroussky",,2013,,,
"Diego Ramos Rodríguez, David Schweighart & Viola Hammer",,2023,,,
Diffrent,,2025,,,
Digable Planets,,,,,
Digikid-84,,2007,,,
Digital,,2009,,,
Digital & Outrage,,2009,,,
Digital Breaks Foundation,,2007,,,
Digital Dubs vs. Dubiterian,,2009,,,
Digital Math,,2013,,,
Digitalism,,2018,,,
Dilby,,2022,,,
Dilemn,,2011,,,
Dimitri From Paris,,,,,
Dino Lenny,,2025,,,
Dino Lenny & Doorly,,2016,,,
Dioke Homer,,2013,,,
Diplo,,2008,,,
Diplo & Laidback Luke,,2009,,,
Dirty Inc,,2010,,,
Dirty Noize,,2012,,,
Dirty South,,2009,,,
Dirty Super Car,,2011,,,
Dirty Vegas,,2011,,,
Disclosure,,2024,,,
Disclosure & Friend Within,,2014,,,
Disco D,,2007,,,
Disco Harry,,2012,,,
Disco Killah,,2010,,,
Discount Rhinos,,2007,,,
Disobey,,2013,,,
Disrupt,,2009,,,
Disso!ver,,2022,,,
Distant Sun,,2023,,,
Ditto,NZ,2013,NZ,,
Diverse,,2006,,,
Dizzee Rascal,,2009,,,
Dizzee Rascal & Armand Van Helden,,2009,,,
Dizzee Rascal ft. Calvin Harris and Chrome,,2008,,,
Dj Neuro Prime,,2010,,,
Djedjotronic,,2012,,,
Djrum,,2025,,,
Djuma Soundsystem & Shades Of Gray,,2014,,,
Doctor Dru,,2017,,,
Doctor Jeep,,2024,,,
Doctor P,,2010,,,
Doechii,,2024,,,
"Does It Offend You, Yeah",,2008,,,
"Does It Offend You, Yeah?",,2008,,,
Dog on acid,,2024,,,
Dole & Kom,,2017,,,
Dom Almond,,2006,,,
Dominik Eulberg,,2012,,,
Dominik Eulberg & Gabriel Ananda,,2013,,,
Domino,,2009,,,
Dominus,,2023,,,
Dominus & Magugu,,2023,,,
Dompe,,2025,,,
Don Carlos,,2009,,,
Don Diablo,,2009,,,
Don Rimini,,2008,,,
Donald Glaude,,2007,,,
Donati & Amato,,2011,,,
Donato Dozzy,,2024,,,
Donna Summer,,2010,,,
Donovans,,2010,,,
Doorly,,2012,,,
Doorly & Rory Lyons,,2013,,,
Dopamine,,2006,,,
Dopefish,,2009,,,
Dorian Clein,,2011,,,
Dorisburg,,2024,,,
Dorisburg & Fabian Bruhn,,2023,,,
Dorsia,,2014,,,
Dosem,,2019,,,
Double Agent,,2014,,,
Double Negative,NZ,2009,NZ,,
Doug Thomas,,2022,NZ,https://musicbrainz.org/artist/990e015d-4acc-446b-907c-446753d0b294,
Douglas Greed,,2014,,,
Douster,,2009,,,
Doves,,2009,,,
Dr. Berger,,2009,,,
Dr. Love Gland,NZ,1997,NZ,,"Breakbeat; Electronica"
Dragonette,,2009,,,
Drake,,2009,,,
Dre Skull,,2007,,,
Drop The Lime,,2010,,,
Drop the Lime,,2009,,,
Drumattic Twins,,2007,,,
Drumcomplex,,2018,,,
Drums Of Death,,2010,,,
Drumsound & Bassline Smith,,2012,,,
Dub Dynasty,,2014,,,
Dub Natty Sessions,,2017,,,
Dub Pistols,,2009,,,
Dub Syndicate,,1993,,,
"DubApe, Scooped & Sepia",,2017,,,
Dubbel Dutch,,2011,,,
Dubfire,,2012,,,
Dubfire & Oliver Huntemann,,2011,,,
Duck Sauce,,2010,,,
Dudley Benson,NZ,2022,NZ,https://musicbrainz.org/artist/88e4fe9c-4c74-41d5-b7b1-12bc39ca35f4,Electronica
Duke Dumont,,2012,,,
Dullatron,,2014,,,
Dum Dumpster & BeatFlexz,,2013,,,
Dumb Dan & May Nilsson,,2006,,,
Duo Alias,NZ,2018,NZ,,Techno
Durez,NZ,2011,NZ,,
Dusky,,2022,,,
Dusky & El-B,,2022,,,
Dusky & Farsight (ft. Manga Saint Hilaire),,2025,,,
Dust Yard,,2022,,,
Dusty,,2023,NZ,https://musicbrainz.org/artist/66c14218-1e0c-4d86-9b55-de7f578eca92,
Dusty Kid,,2024,,,
Dyed Soundorom,,2009,,,
Dylan Henner,,2026,,,
Dylan Rhymes vs. Blende,,2008,,,
Dzeta n' Basile,,2014,,,
"E.L.I., Fur & Shadow Child",,2014,,,
EL-B,,2025,,,
EL-B & Dusky,,2024,,,
EL-B & Om Unit,,2023,,,
EL-B & SP:MC,,2025,,,
ELIZA & Phairo,,2023,,,
EMILIE,,2024,NZ,https://musicbrainz.org/artist/02e1a2fa-c1a8-4a6f-a15c-2792d915b586,
EPMD,,2008,,,
Eagles & Butterflies,,2018,,,
Earl Jeffers,,2016,,,
East End Dubs,,2019,,,
Eats Everything,,2019,,,
Eavesdrop,NZ,2012,NZ,,
Eavesdrop & Benson (feat. Willie C),NZ,2011,NZ,,
Ebb,NZ,2022,NZ,,"Breakbeat; Dubstep; Techno"
Ebb & Texture,,2005,,,
Ebony Bones,,2009,,,
Ecco,,2019,,,
Echaskech,,2017,,,
Ed Davenport,,2017,,,
Ed Solo,,2009,,,
Ed Solo & Skool of Thought,,2006,,,
Ed209,,2006,,,
Eddie Thoneick,,2008,,,
Eddy M,,2021,,,
Eden Burns,NZ,2025,NZ,https://musicbrainz.org/artist/311dde39-8613-4425-baa8-7b8cbabc255f,"Breakbeat; House; Techno"
Editors,,2009,,,
Edoardo Spolaore,,2013,,,
Edu K,,2010,,,
Edwin Van Cleef,,2009,,,
Eek-A-Mouse & Alkaman,,2025,,,
Eelke Kleijn,,2010,,,
Efdemin,,2014,,,
Effy,,2025,,,
Ego Troopers,,2012,,,
Egyptrixx,,2011,,,
Ejeca,,2021,,,
Ekzander,,2025,,,
El Michels Affair & Norah Jones,,2025,,,
El Sueño De Hyparco,,2017,,,
Ela Minus,,2021,,,
Eli Brown,,2019,,,
Eli Escobar,,2010,,,
Elisa Bee,,2025,,,
Elite Force,,2008,,,
Ella Fitzgerald,,2007,,,
Ellen Allien,,2017,,,
Ellen Allien & Apparat,,2006,,,
Elleyet,,2014,,,
Ellie Goulding,,2011,,,
Eloquin & Misnoma,,2025,,,
Eluvium,,2013,,,
Emanuel Satie,,2015,,,
"Emanuel, McCall & Jamesie ft. Rita Campbell",,2008,,,
Emerson Todd,NZ,2009,NZ,,
Emerson Todd vs. Tim Green,NZ,2010,NZ,,
Emilove & Emiliano Naples,,2019,,,
Eminem,,1999,,,
Eminence ft. Kathy Brown,,1997,,,
Emlyn BPM,,2019,,,
Emma Louise & Flume,,2025,,,
Endlec,,2020,,,
Enrico Sangiuliano,,2018,,,
Enzo Amato & Orchestra Da Camera Di Napoli,,2008,,,
Enzo Electronic,,2018,,,
Enzo Siragusa,,2022,,,
Enzo Siragusa & Liefko,,2013,,,
Enzo Siragusa & Michael James,,2020,,,
Enzo is Burning,,2024,,,
Epoq,,2002,,,
Eprom,,2024,,,
Epsilon-Blue,NZ,1997,NZ,,
Eric B & Rakim,,1987,,,
Eric Prydz,,2008,,,
Eric Sharp & Bass Cadet,,2010,,,
Erick Decks,,2007,,,
Erik Friedlander,,2007,,,
Erik Luebs,,2025,,,
Erik Truffaz & Murcof,,2014,,,
Erika de Casier,,2024,,,
"Eriko Sato, Orpheus Chamber Orchestra & Edward Brewer",,1990,,,
Ernest Ranglin,,1996,,,
Erol Alkan & Boys Noize,,2009,,,
Es.tereo,,2021,,,
Escobar & Vito,,2008,,,
Esdee,NZ,2006,NZ,,
Essáy,,2011,,,
Estaw,,2008,,,
Estiva,,2025,,,
Etapp Kyle,,2017,,,
Etch,,2011,,,
Etienne De Crecy,,2007,,,
Etnica,,2014,,,
Euphorion,,2016,,,
EvenS,,2016,,,
Eversines,,2020,,,
Evigt Mörker,,2022,,,
Evil Needle,,2015,,,
Evren Ulusoy,,2018,,,
Ewan Collins,,2024,,,
Example,,2009,,,
Extnddntwrk,,2024,,,
ExtraDruck,,2013,,,
Extrawelt,,2019,,,
Eyerer & Chopstick,,2006,,,
Eyerer & Namito,,2008,,,
F.E.X.,,2008,,,
F.U.S.E.,,1992,,,
FAUZIA,,2020,,,
FC Kahuna,,2002,,,
FCL,,2013,,,
FDR-Sound,,2024,,,
FISHER,,2017,,,
FKA twigs,,2025,,,
FLITS,,2023,,,
Fabe,,2025,,,
Fabe (Ger),,2024,,,
Faber Morrow,,2022,,,
Fabio,,2013,,,
Facta,,2025,,,
Factor Eight,,2025,,,
Faded Ranger,,2014,,,
Fadi Mohem,,2025,,,
Faggetfairys,,2008,,,
Fake Blood,,2019,,,
Fall Out Boy,,2009,,,
FaltyDL,,2023,,,
Fanau Spa,NZ,2018,NZ,,
Fancy Fux,,2017,,,
Fantastic Boyz,,2012,,,
Fantastic Man,,2020,,,
Fargo,,2012,,,
Farley & Corin,NZ,2011,NZ,,
Farsight,,2024,,,
Fat Sushi,,2015,,,
Fatboy Slim,,2006,,,
Fatboy Slim & Riva Starr ft. Beardyman,,2013,,,
Fatima Al Qadiri,,2024,,,
Fatima Yamaha,,2015,,,
Faze Action,,,,,
Fazerdaze,,2023,NZ,https://musicbrainz.org/artist/d51ce0e4-027e-4ecf-a87e-c02a08149f42,
Fazil Say,,2017,,,
Fckn Crew,,2009,,,
Fcukers,,2024,,,
Fedde Le Grand,,2006,,,
Federic Sallefranque,,2013,,,
Feist,,2007,,,
Felicia Atkinson,,2025,,,
Felix Cartal,,2011,,,
Felix Cartal ft. Hanne Mjoen,,2021,,,
Felix Fleer,,2024,,,
Fennesz,,2014,,,
Feral,,2016,NZ,https://musicbrainz.org/artist/f9698278-1edd-4b1a-99cb-8c17846c8bbf,
Fergie,,2007,,,
Fernando Mesa,,2013,,,
Fever Ray,,2009,,,
Fibre Optixx,,2024,,,
Fideles,,2018,,,
Figure,,2011,,,
Fil OK,,2010,,,
Filth & Splendour,,2008,,,
Filthy Rich,,2013,,,
Fine Taste,,2007,,,
"Fingers, Inc.",,2012,,,
Finn & I. JORDAN,,2019,,,
Fiord,NZ,2010,NZ,,
Fisher,,2018,,,
Flacker,,2006,,,
Flanders,,2008,,,
Flash,,2012,NZ,https://musicbrainz.org/artist/c9bef1c4-88be-4e00-803c-268e81cc645e,
Flash Cartel,,2012,,,
Flauschig,,2019,,,
Flek C,NZ,2008,NZ,,
Flight Facilities ft. Giselle,,2010,,,
Floating Points,,2024,,,
Floorplan,,2013,,,
Florence + The Machine,,2009,,,
Florrie,,2010,,,
Flower Storm,,2025,,,
Fluxion,,2021,,,
Flying Lotus,,2026,,,
Foamo,,2012,,,
Foamo & Randomer,,2010,,,
Fog,,2010,NZ,https://musicbrainz.org/artist/1c627521-494b-4723-826b-6ecccd1611bd,
Foison,,2024,,,
Folamour,,2019,,,
Fonzerelli,,2007,,,
Fonzo,,2023,,,
Fool's Gold,,2009,,,
Foreign Beggars & Rouge A Levres,,2009,,,
Foreigner,,2012,,,
Forest Drive West,,2021,,,
Forma & Octavio,,2024,,,
Format B & Sexus,,2013,,,
Format:B,,2021,,,
Fort Romeau,,2023,,,
Fortune8Fellaz,,2008,,,
Foster The People,,2011,,,
Fouk,,2024,,,
Four Tet,,2024,,,
Fracture,,2020,,,
Fracture & Sam Binga,,2022,,,
Fragma,,2008,,,
"Franc Fala, Samm (BE) & Benja (NL)",,2026,,,
France Jobin,,2024,,,
Franck D,,2017,,,
Franck Roger,,2025,,,
Frank Sinatra,,1972,,,
Frank Sinatra & Nancy Sinatra,,1967,,,
Frankel & Harper,,2021,,,
Frankie Dep,,2013,,,
Frankie Goes to Hollywood,,2006,,,
Franky Rizardo,,2025,,,
Frankyeffe,,2020,,,
Freak-Fu & Muza Yakuza,,2010,,,
Freaks & 012,,2011,,,
Freaky Chakra & Freddy Be,,2021,,,
"Frederic Deville, Justine Metral, Louis Rodde, Michèle Pierre & Paul Colomb",,2024,,,
Fredrika Stahl,,2022,,,
Freedom Fighters,,2023,,,
"Freedom Fighters, Dusty Kid",,2023,,,
Freeform Five,,2007,,,
Freeland,,2009,,,
Freestylers,,2012,,,
Freezepop,,2008,,,
French Fries,,2013,,,
Frenk Dublin,,2025,,,
Frenk Dublin & Tenor Youthman,,2025,,,
Fresko (US),,2024,,,
Fresnel Lens,,2022,,,
Friend Within,,2013,,,
Fritz Carlton & Lubelski,,2016,,,
Frivolous,,2022,,,
Frogs In Socks,,2012,,,
Froidz,,2011,,,
From Monument to Masses,,2009,,,
Fugazi,,1998,,,
Fukkk Offf,,2011,,,
Funk 'n' Slo Cuts,NZ,2007,NZ,,
Funkadelic & Soul Clap,,2015,,,
Funkasaurus,,2007,,,
Funkbrainer & Lox D,,2014,,,
Funkdamunk,,2011,,,
Funkerman,,2009,,,
Funkin Matt ft. Teki Latex,,2011,,,
Futureheads,,2009,,,
G-Man,,2014,,,
GASP,,2014,,,
GASP & SickDrumz,NZ,2013,NZ,,
GRUM,,2010,,,
"Gabe, Marco Strous",,2023,,,
Gabriel & Dresden,,2006,,,
Gabriel Ananda,,2009,,,
Gabriela Montero,,2007,,,
Gaiser,,2013,,,
Galen & Justin Martin,,2010,,,
Gallya,,2018,,,
Gang Gang Dance,,2009,,,
Gang Starr,,2006,,,
Gang Violins,NZ,2025,NZ,,
Ganzfeld Effect,,2014,,,
Garage Jams,,2006,,,
"Gareth Koch, Karin Schaupp, Leonard Grigoryan, Saffire - The Australian Guitar Quartet & Slava Grigoryan",,2006,,,
Gary Beck,,2025,,,
Geins't Naït & Laurent Petitgand,,2025,,,
Gel Abril,,2015,,,
Gene Farris,,2016,,,
Gene K,,2012,,,
General MIDI,,2008,,,
Genghis Clan,,2012,,,
Gentlemen Drivers,,2007,,,
Geoff K,,2009,,,
George Acosta,,2020,,,
George Benson,,1984,,,
George FitzGerald,,2018,,,
Gerd,,2014,,,
Gerry Mulligan,,,,,
Gershon Jackson,,2017,,,
Getsio,,2013,,,
Geyster,,2008,,,
Ghostface Killah,,2003,,,
Ghostnaut & Raw Collective,,2021,,,
GiGi FM,,2025,,,
Gidge,,2017,,,
Gigi Barocco,,2010,,,
Gilligan Moss,,2019,,,
Gingy,,2007,,,
Giom,,2017,,,
Giorgio Prezioso vs. Libex,,2006,,,
Giorgio Sainz ft. Knockie,,2011,,,
Giovanni Antonini,,2006,,,
Glasgow Ganster Funk,,2002,,,
Glaskin,,2024,,,
Glass Animals,,2015,,,
Glass Beams,,2024,,,
Glaubitz & Roc,,1999,,,
Glenn Gould,,1977,,,
Glenn Miller,,1939,,,
"Gli Incogniti, Amandine Beyer & Helena Zemanova",,2013,,,
Global Communication,,1997,,,
Godspeed You! Black Emperor,,2015,,,
Golden Bug,,2009,,,
Golden Features,,2018,,,
Golden Hour,,2019,,,
Goldfrapp,,2012,,,
Goldie,,2012,,,
Goldie-Lox,,2007,,,
Goldmund,,2008,,,
GoodBooks,,2007,,,
Goose,NZ,2023,NZ,,
Gooseflesh,,2011,,,
Gorge,,2025,,,
Gorge & DÉ SAINT.,,2024,,,
Gorgon City,,2017,,,
Gorillaz,,2010,,,
Goshi Goshi,,2008,,,
Gossip,,2009,,,
Goth-Trad,,2015,,,
Goth-Trad & Max Romeo,,2011,,,
Gotye,NZ,2011,NZ,,
Grace Jones,,2006,,,
Grand Def Audio,,2007,,,
Grandadbob,,2013,,,
Grandmaster Flash feat. The Furious Five,,2003,,,
Granite & Phunk,,2007,,,
Great Skies,,2011,,,
Green Velvet,NZ,2013,NZ,,
Green-House,,2026,,,
Greencross,,2009,,,
Greg Churchill,NZ,2012,NZ,,
Greg Foat & Gigi Masin,,2023,,,
Greg Gow,,2006,,,
"Greg, Jeroenski & Roog",,2008,,,
Gregor Tresher,,2018,,,
Griselda,,2019,,,
Groef,,2025,,,
Groove Allegiance,,2005,,,
Groove Amanda,,2010,,,
Groove Armada,,2012,,,
Groove Armada ft. Slarta John,,2012,,,
Groove Diggerz,,2005,,,
Groove P,,2023,,,
Grouch,NZ,2010,NZ,,
Groucho Marxx,,2010,,,
Grouplove,,2012,,,
"Grover Washington, Jr.",,1982,,,
Gruuve,,2020,,,
Gui Boratto,,2018,,,
Guido Nemola,,2016,,,
Guille Placencia,,2022,,,
Guns 'N' Bombs,,2008,,,
Guns 'n' Bombs,,2009,,,
Guns N' Roses,,1987,,,
"Guti, Roby & Livio",,2012,,,
Gutterpunk,,2007,,,
Guy Gerber,,2018,,,
Guy Herman,,2007,,,
Gwen Stefani,,2006,,,
HER ft. MC Cyanide,,2012,,,
HK119,,2008,,,
HLTR$KLTR x ENZO PICARDI,,2014,,,
HLTR$KLTR x Niko Javan,,2014,,,
HMNK,,2022,,,
HVAD & Pan Daijing,,2017,,,
Haezer,,2018,,,
Hagan,,2020,,,
Hail Social,,2007,,,
Haim,,2013,,,
Hakan Ludvigson,,2011,,,
Hakan Ludvigson & Kasa Remixoff,,2011,,,
Hakan Ludvigson & Radio Jack,,2011,,,
Hakka,,2021,,,
Halogenix,,2017,,,
Halsey,,2015,,,
Hamdi,,2023,,,
Hania Rani,,2023,,,
Hank LW,,2018,,,
Hannah Peel & Paraorchestra,,2022,,,
Hannah Wants,,2024,,,
Hannah Wants & Chris Lorenzo,,2014,,,
Hannah Wants & Jamie George,,2013,,,
"Hannah Wants, Clementine Douglas",,2022,,,
Harba,,2024,,,
Hardrive,,2013,,,
Hardy Heller & Alex Connors,,2023,,,
Harmonic 313,,2009,,,
Harnek Mudhar,,2018,,,
Harold Budd,,2013,,,
Harry Romero,,2015,,,
Hartmut Kiss,,2012,,,
Haruka,,2022,,,
Harvey Sutherland,,2025,,,
Harvo,NZ,2022,NZ,,"Breakbeat; House; Techno"
Haszari,NZ,2025,NZ,,"Breakbeat; Dub; House; Minimal; Techno"
Haszari & Alaninterface,,2015,,,
Haszari & Kathia Rudametkin,,2024,,,
Haszari & Sharkweek,,2021,,,
Haszari & nsu,,2021,,,
Haszari + Katha Rudametkin,,2024,,,
Haszari vs. Schraa,,2007,,,
"Haszari, Kathia Rudametkin",,2024,,,
"Haszari, Kathia Rudametkin, Foison",,2024,,,
"Haszari, Nikolozi",,2024,,,
"Haszari, Sharkweek",NZ,2025,NZ,,
Haters,,2012,,,
Hatiras presents Dr. Shney & Sixty Cent,,2007,,,
Hauswerks,,2013,,,
He&She,,2011,,,
Headland,NZ,2022,NZ,https://musicbrainz.org/artist/1bef19c2-6750-4cc9-83d8-a837090a2705,"Dubstep; Techno; Dub"
Heads We Dance,,2008,,,
Headshotboyz,,2008,,,
Hector Couto,,2023,,,
Heiko Laux,,2022,,,
Heiko Laux & Diego Hostettler,,2013,,,
Heiko Laux & Joel Mull,,2021,,,
Helena Hauff,,2014,,,
Helene Vogelsinger,,2020,,,
Helly Larson,,2016,,,
Henrik Lindstrand & Kasper Bjørke,,2026,,,
Henrik Schwarz & Bugge Wesseltoft,,2020,,,
Henry Greenleaf,,2022,,,
Henry Mancini,,1972,,,
Henry Was & Justin Jay,,2020,,,
Herb Alpert,,1979,,,
Hermbot,,2018,,,
Herve,,2009,,,
Herve & Stanton Warriors present The Warrior Project,,2010,,,
Herve vs Metallica,,2010,,,
Hervé,,2010,,,
Herzel,,2018,,,
HiJack,,2009,,,
Hibernate,,2014,,,
Hidden Cat,,2011,,,
Hidden Tapes,,2024,,,
High Rankin,,2010,,,
High Tone,,2014,,,
Highrise & Frazer Ray,,2023,,,
Hijack vs. Santiago & Bushido,,2010,,,
Hijinx,,2024,,,
Hilary Hahn,,1997,,,
Hildur Guðnadóttir,,2014,,,
Hinako Omori,,2020,,,
Hiromi,,2023,,,
His Majesty Andre,,2010,,,
Hodge,,2022,,,
Holden & Thompson,,2009,,,
Holloway,,2023,NZ,https://musicbrainz.org/artist/1745ae1b-1a9c-46e0-974e-7d5f0f675f6d,
Holly Herndon,,2019,,,
Holy Ghost,,2010,,,
Holy Ghost!,,2011,,,
Home,,2014,,,
Home Brew,,2008,,,
Hook n Sling & Kid Kenobi,,2007,,,
Hooky (nz),,2023,,,
Horace Silver,,1964,,,
